n,densidade,probabilidade,run_id,num_arestas,bt_tempo,bt_sucesso,bt_passos,h_tempo,h_sucesso
8,sparse,0.2,0,2,0.000010,0,14,0.000010,0
8,sparse,0.2,1,7,0.000016,0,80,0.000015,0
8,medium,0.5,0,16,0.000012,1,54,0.000006,1
8,medium,0.5,1,10,0.000041,0,246,0.000014,0
10,sparse,0.2,0,7,0.000013,0,66,0.000009,0
10,sparse,0.2,1,11,0.000043,0,252,0.000017,0
10,medium,0.5,0,23,0.000006,1,19,0.000013,1
10,medium,0.5,1,25,0.000017,1,84,0.000006,1
12,sparse,0.2,0,15,0.000172,0,1010,0.000040,0
12,sparse,0.2,1,13,0.000084,0,492,0.000030,0
12,medium,0.5,0,28,0.000009,1,35,0.000010,1
12,medium,0.5,1,35,0.000178,1,18,0.000011,1
