n,density,bt_avg_time,bt_success_rate,h_avg_time,h_success_rate,speedup
5,sparse,5.6902567545572914e-05,0.0,4.2279561360677086e-05,0.0,1.3458646616541352
5,medium,3.441174825032552e-05,0.0,4.657109578450521e-05,0.0,0.7389078498293515
5,dense,3.47296396891276e-05,100.0,4.7206878662109375e-05,100.0,0.7356902356902356
10,sparse,0.00032369295756022137,0.0,0.00011793772379557292,0.0,2.7446091644204853
10,medium,3.4968058268229164e-05,100.0,4.267692565917969e-05,100.0,0.8193668528864059
10,dense,4.561742146809896e-05,100.0,7.589658101399739e-05,100.0,0.6010471204188482
15,sparse,0.0038765271504720054,0.0,0.0002266565958658854,0.0,17.103085553997197
15,medium,6.135304768880208e-05,100.0,0.00026671091715494793,100.0,0.23003575685339686
15,dense,6.024042765299479e-05,100.0,0.00011237462361653645,100.0,0.536067892503536
20,sparse,0.6864229043324789,66.66666666666666,0.00041222572326660156,0.0,1665.162714478504
20,medium,5.76178232828776e-05,100.0,0.00034157435099283856,100.0,0.1686831084225221
20,dense,4.871686299641927e-05,100.0,9.632110595703125e-05,100.0,0.5057755775577558
