n,densidade,probabilidade,run_id,num_arestas,bt_tempo,bt_sucesso,bt_timeout,bt_passos,bt_memoria_mb,h_tempo,h_sucesso,h_memoria_mb
10,sparse,0.2,0,6,0.000068,0,0,34,-17.1445,0.000070,0,-17.1484
10,sparse,0.2,1,15,0.001937,0,0,2582,-17.1523,0.000179,0,-17.1602
10,sparse,0.2,2,9,0.000115,0,0,146,-17.1602,0.000089,0,-17.1602
10,sparse,0.2,3,9,0.000113,0,0,144,-17.1602,0.000093,0,-17.1602
10,sparse,0.2,4,12,0.000332,0,0,496,-17.1602,0.000130,0,-17.1602
10,medium,0.5,0,27,0.000043,1,0,14,-17.1602,0.000050,1,-17.1641
10,medium,0.5,1,24,0.000042,1,0,22,-17.1641,0.000047,1,-17.1680
10,medium,0.5,2,22,0.000033,1,0,14,-17.1719,0.000042,1,-17.1719
10,medium,0.5,3,25,0.000062,1,0,66,-17.1758,0.000043,1,-17.1758
10,medium,0.5,4,21,0.000032,1,0,16,-17.1758,0.000042,1,-17.1797
10,dense,0.8,0,37,0.000040,1,0,10,-17.1836,0.000055,1,-17.1875
10,dense,0.8,1,37,0.000041,1,0,10,-17.1875,0.000080,1,-17.1914
10,dense,0.8,2,40,0.000062,1,0,13,-17.1914,0.000080,1,-17.1914
10,dense,0.8,3,38,0.000066,1,0,13,-17.1914,0.000098,1,-17.1914
10,dense,0.8,4,37,0.000064,1,0,10,-17.1953,0.000083,1,-17.1953
20,sparse,0.2,0,31,0.106595,0,0,136908,-17.1953,0.000318,0,-17.2031
20,sparse,0.2,1,31,0.108332,0,0,137808,-17.2109,0.000374,0,-17.2148
20,sparse,0.2,2,40,0.006047,1,0,7579,-17.2148,0.000082,1,-17.2188
20,sparse,0.2,3,39,0.005041,1,0,6301,-17.2227,0.000599,0,-17.2227
20,sparse,0.2,4,42,0.022315,1,0,28555,-17.2227,0.000527,0,-17.2266
20,medium,0.5,0,88,0.000051,1,0,20,-17.2305,0.000092,1,-17.2305
20,medium,0.5,1,91,0.000053,1,0,25,-17.2383,0.000262,1,-17.2383
20,medium,0.5,2,95,0.000048,1,0,24,-17.2422,0.000082,1,-17.2461
20,medium,0.5,3,95,0.000045,1,0,20,-17.2500,0.000083,1,-17.2500
20,medium,0.5,4,87,0.006748,1,0,7484,-17.2539,0.000111,1,-17.2578
20,dense,0.8,0,148,0.000067,1,0,29,-17.2617,0.000101,1,-17.2617
20,dense,0.8,1,153,0.000053,1,0,20,-17.2734,0.000096,1,-17.2734
20,dense,0.8,2,154,0.000053,1,0,23,-17.2773,0.000100,1,-17.2773
20,dense,0.8,3,150,0.000067,1,0,48,-17.2852,0.000097,1,-17.2852
20,dense,0.8,4,156,0.000053,1,0,20,-17.2891,0.000099,1,-17.2930
30,sparse,0.2,0,79,0.000000,0,1,0,0.0000,0.000222,1,-17.4844
30,sparse,0.2,1,92,1.147903,1,0,1357354,-17.4883,0.000197,1,-17.4961
30,sparse,0.2,2,89,12.565551,1,0,15238713,-17.5000,0.000209,1,-17.5000
30,sparse,0.2,3,80,0.000000,0,1,0,0.0000,0.000842,0,-17.5234
